SOURCE	TARGET	count
CD8T	CD8T	0
CD8T	B	0
CD8T	erythrocyte	0
CD8T	monocyte	2
CD8T	CD4T	0
CD8T	proliferating_lympho	0
CD8T	NK	0
CD8T	unknown	0
CD8T	plasma	2
CD8T	platelets	1
CD8T	cDCs+pDCs	3
B	CD8T	0
B	B	1
B	erythrocyte	0
B	monocyte	10
B	CD4T	1
B	proliferating_lympho	3
B	NK	1
B	unknown	1
B	plasma	6
B	platelets	6
B	cDCs+pDCs	9
erythrocyte	CD8T	0
erythrocyte	B	0
erythrocyte	erythrocyte	0
erythrocyte	monocyte	4
erythrocyte	CD4T	0
erythrocyte	proliferating_lympho	2
erythrocyte	NK	2
erythrocyte	unknown	0
erythrocyte	plasma	2
erythrocyte	platelets	2
erythrocyte	cDCs+pDCs	5
monocyte	CD8T	2
monocyte	B	10
monocyte	erythrocyte	4
monocyte	monocyte	9
monocyte	CD4T	3
monocyte	proliferating_lympho	12
monocyte	NK	6
monocyte	unknown	3
monocyte	plasma	14
monocyte	platelets	12
monocyte	cDCs+pDCs	18
CD4T	CD8T	0
CD4T	B	1
CD4T	erythrocyte	0
CD4T	monocyte	3
CD4T	CD4T	0
CD4T	proliferating_lympho	1
CD4T	NK	1
CD4T	unknown	0
CD4T	plasma	1
CD4T	platelets	2
CD4T	cDCs+pDCs	3
proliferating_lympho	CD8T	0
proliferating_lympho	B	3
proliferating_lympho	erythrocyte	2
proliferating_lympho	monocyte	12
proliferating_lympho	CD4T	1
proliferating_lympho	proliferating_lympho	2
proliferating_lympho	NK	2
proliferating_lympho	unknown	2
proliferating_lympho	plasma	6
proliferating_lympho	platelets	6
proliferating_lympho	cDCs+pDCs	10
NK	CD8T	0
NK	B	1
NK	erythrocyte	2
NK	monocyte	6
NK	CD4T	1
NK	proliferating_lympho	2
NK	NK	1
NK	unknown	1
NK	plasma	5
NK	platelets	1
NK	cDCs+pDCs	6
unknown	CD8T	0
unknown	B	1
unknown	erythrocyte	0
unknown	monocyte	3
unknown	CD4T	0
unknown	proliferating_lympho	2
unknown	NK	1
unknown	unknown	0
unknown	plasma	1
unknown	platelets	2
unknown	cDCs+pDCs	3
plasma	CD8T	2
plasma	B	6
plasma	erythrocyte	2
plasma	monocyte	14
plasma	CD4T	1
plasma	proliferating_lympho	6
plasma	NK	5
plasma	unknown	1
plasma	plasma	5
plasma	platelets	11
plasma	cDCs+pDCs	12
platelets	CD8T	1
platelets	B	6
platelets	erythrocyte	2
platelets	monocyte	12
platelets	CD4T	2
platelets	proliferating_lympho	6
platelets	NK	1
platelets	unknown	2
platelets	plasma	11
platelets	platelets	5
platelets	cDCs+pDCs	11
cDCs+pDCs	CD8T	3
cDCs+pDCs	B	9
cDCs+pDCs	erythrocyte	5
cDCs+pDCs	monocyte	18
cDCs+pDCs	CD4T	3
cDCs+pDCs	proliferating_lympho	10
cDCs+pDCs	NK	6
cDCs+pDCs	unknown	3
cDCs+pDCs	plasma	12
cDCs+pDCs	platelets	11
cDCs+pDCs	cDCs+pDCs	9
