gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CD8T	B	erythrocyte	monocyte	CD4T	proliferating_lympho	NK	unknown	plasma	platelets	cDCs+pDCs
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.083	-0.267	0.012	0.777	-0.223	0.1	0.001	-0.177	-0.285	0.532	0.54
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	-0.12	0.625	-0.103	-0.055	-0.11	-0.012	-0.129	-0.103	1.665	-0.126	-0.126
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.009	-0.034	0.532	-0.043	-0.035	0.022	-0.053	-0.228	-0.251	0.049	0.059
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	-0.213	1.303	-0.186	-0.105	-0.241	-0.175	-0.195	-0.197	-0.022	0.074	0.155
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	-0.281	1.475	-0.243	-0.208	-0.243	-0.24	-0.323	-0.122	-0.077	-0.088	-0.27
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	-0.217	1.643	-0.647	0.52	-0.554	0.22	0.032	-0.235	0.432	0.169	1.798
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	-0.217	0.051	-0.184	1.001	-0.192	-0.241	-0.223	-0.175	0.076	-0.204	2.217
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	-0.302	-0.281	-0.235	1.893	-0.359	-0.196	-0.299	-0.253	0.082	-0.238	1.272
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	-0.223	-0.026	-0.285	1.062	-0.186	0.195	0.032	-0.228	-0.112	0.262	1.408
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	-0.223	-0.026	-0.285	1.062	-0.186	0.195	0.032	-0.228	-0.112	0.262	1.408
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0978D28AB	-0.143	-0.121	-0.104	0.834	-0.112	-0.102	-0.116	-0.105	-0.101	-0.139	0.039
APP	P05067	False	A4_HUMAN		CPI-SS0F66EA6BE	-0.18	0.026	-0.111	0.192	0.084	-0.01	-0.143	-0.044	0.037	-0.062	0.751
GRN	P28799	False	GRN_HUMAN		CPI-SS0DA033F03	-0.302	-0.281	-0.235	1.893	-0.359	-0.196	-0.299	-0.253	0.082	-0.238	1.272
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03C51D352	-0.278	-0.261	-0.196	1.498	-0.24	-0.239	-0.288	-0.26	0.067	0.405	1.275
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS03133B4F2	-0.278	-0.261	-0.196	1.498	-0.24	-0.239	-0.288	-0.26	0.067	0.405	1.275
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS0F00D756A	-0.278	-0.261	-0.196	1.498	-0.24	-0.239	-0.288	-0.26	0.067	0.405	1.275
TNFSF13B	Q9Y275	False	TN13B_HUMAN		CPI-SS09648FAA9	-0.278	-0.261	-0.196	1.498	-0.24	-0.239	-0.288	-0.26	0.067	0.405	1.275
APP	P05067	False	A4_HUMAN		CPI-SS09808DEAE	-0.18	0.026	-0.111	0.192	0.084	-0.01	-0.143	-0.044	0.037	-0.062	0.751
LILRB2	Q8N423	False	LIRB2_HUMAN		CPI-SS0EAB03260	-0.239	-0.228	-0.209	1.438	-0.236	-0.239	-0.228	-0.15	-0.176	-0.045	0.06
SORT1	Q99523	False	SORT_HUMAN		CPI-SS07CCAD9BF	-0.07	-0.09	-0.113	0.652	-0.114	-0.06	-0.01	-0.083	-0.123	0.657	0.003
LRP1	Q07954	False	LRP1_HUMAN		CPI-SS0419B80C4	-0.224	-0.203	-0.197	1.263	-0.224	-0.21	-0.22	-0.043	0.11	-0.094	0.265
HAVCR2	Q8TDQ0	False	HAVR2_HUMAN		CPI-SS0E23CEB91	-0.091	-0.161	0.035	0.263	-0.145	0.484	0.579	0.043	-0.212	-0.135	0.61
MS4A4A	Q96JQ5	False	M4A4A_HUMAN		CPI-SS0978D28AB	-0.181	-0.181	-0.187	1.224	-0.191	-0.191	-0.181	-0.094	-0.153	-0.204	0.502
FPR2	P25090	False	FPR2_HUMAN		CPI-SS0F66EA6BE	-0.169	-0.122	-0.093	0.969	-0.138	-0.142	-0.146	-0.063	-0.065	-0.14	-0.148
