SOURCE	TARGET	count
B	B	0
B	CD8T	0
B	CD4T	1
B	unknown	0
B	NK	0
B	monocyte	0
B	erythrocyte	1
B	cDCs+pDCs	0
B	proliferating_lympho	1
B	plasma	1
B	platelets	0
CD8T	B	0
CD8T	CD8T	0
CD8T	CD4T	1
CD8T	unknown	0
CD8T	NK	0
CD8T	monocyte	0
CD8T	erythrocyte	1
CD8T	cDCs+pDCs	0
CD8T	proliferating_lympho	1
CD8T	plasma	1
CD8T	platelets	0
CD4T	B	1
CD4T	CD8T	1
CD4T	CD4T	1
CD4T	unknown	0
CD4T	NK	1
CD4T	monocyte	0
CD4T	erythrocyte	1
CD4T	cDCs+pDCs	0
CD4T	proliferating_lympho	1
CD4T	plasma	2
CD4T	platelets	0
unknown	B	0
unknown	CD8T	0
unknown	CD4T	0
unknown	unknown	0
unknown	NK	0
unknown	monocyte	0
unknown	erythrocyte	0
unknown	cDCs+pDCs	0
unknown	proliferating_lympho	0
unknown	plasma	0
unknown	platelets	0
NK	B	0
NK	CD8T	0
NK	CD4T	1
NK	unknown	0
NK	NK	0
NK	monocyte	0
NK	erythrocyte	1
NK	cDCs+pDCs	0
NK	proliferating_lympho	1
NK	plasma	1
NK	platelets	0
monocyte	B	0
monocyte	CD8T	0
monocyte	CD4T	0
monocyte	unknown	0
monocyte	NK	0
monocyte	monocyte	0
monocyte	erythrocyte	0
monocyte	cDCs+pDCs	0
monocyte	proliferating_lympho	0
monocyte	plasma	0
monocyte	platelets	0
erythrocyte	B	1
erythrocyte	CD8T	1
erythrocyte	CD4T	1
erythrocyte	unknown	0
erythrocyte	NK	1
erythrocyte	monocyte	0
erythrocyte	erythrocyte	0
erythrocyte	cDCs+pDCs	0
erythrocyte	proliferating_lympho	1
erythrocyte	plasma	2
erythrocyte	platelets	0
cDCs+pDCs	B	0
cDCs+pDCs	CD8T	0
cDCs+pDCs	CD4T	0
cDCs+pDCs	unknown	0
cDCs+pDCs	NK	0
cDCs+pDCs	monocyte	0
cDCs+pDCs	erythrocyte	0
cDCs+pDCs	cDCs+pDCs	0
cDCs+pDCs	proliferating_lympho	0
cDCs+pDCs	plasma	0
cDCs+pDCs	platelets	0
proliferating_lympho	B	1
proliferating_lympho	CD8T	1
proliferating_lympho	CD4T	1
proliferating_lympho	unknown	0
proliferating_lympho	NK	1
proliferating_lympho	monocyte	0
proliferating_lympho	erythrocyte	1
proliferating_lympho	cDCs+pDCs	0
proliferating_lympho	proliferating_lympho	1
proliferating_lympho	plasma	2
proliferating_lympho	platelets	0
plasma	B	1
plasma	CD8T	1
plasma	CD4T	2
plasma	unknown	0
plasma	NK	1
plasma	monocyte	0
plasma	erythrocyte	2
plasma	cDCs+pDCs	0
plasma	proliferating_lympho	2
plasma	plasma	1
plasma	platelets	0
platelets	B	0
platelets	CD8T	0
platelets	CD4T	0
platelets	unknown	0
platelets	NK	0
platelets	monocyte	0
platelets	erythrocyte	0
platelets	cDCs+pDCs	0
platelets	proliferating_lympho	0
platelets	plasma	0
platelets	platelets	0
