SOURCE	TARGET	count
unknown	unknown	0
unknown	monocyte	5
unknown	CD8T	0
unknown	CD4T	0
unknown	cDCs+pDCs	3
unknown	B	0
unknown	NK	0
unknown	plasma	0
unknown	proliferating_lympho	0
unknown	erythrocyte	0
unknown	platelets	1
monocyte	unknown	5
monocyte	monocyte	21
monocyte	CD8T	15
monocyte	CD4T	10
monocyte	cDCs+pDCs	31
monocyte	B	12
monocyte	NK	19
monocyte	plasma	10
monocyte	proliferating_lympho	26
monocyte	erythrocyte	6
monocyte	platelets	15
CD8T	unknown	0
CD8T	monocyte	15
CD8T	CD8T	2
CD8T	CD4T	4
CD8T	cDCs+pDCs	13
CD8T	B	2
CD8T	NK	4
CD8T	plasma	2
CD8T	proliferating_lympho	5
CD8T	erythrocyte	0
CD8T	platelets	6
CD4T	unknown	0
CD4T	monocyte	10
CD4T	CD8T	4
CD4T	CD4T	0
CD4T	cDCs+pDCs	7
CD4T	B	1
CD4T	NK	4
CD4T	plasma	0
CD4T	proliferating_lympho	4
CD4T	erythrocyte	0
CD4T	platelets	2
cDCs+pDCs	unknown	3
cDCs+pDCs	monocyte	31
cDCs+pDCs	CD8T	13
cDCs+pDCs	CD4T	7
cDCs+pDCs	cDCs+pDCs	11
cDCs+pDCs	B	6
cDCs+pDCs	NK	13
cDCs+pDCs	plasma	7
cDCs+pDCs	proliferating_lympho	18
cDCs+pDCs	erythrocyte	3
cDCs+pDCs	platelets	9
B	unknown	0
B	monocyte	12
B	CD8T	2
B	CD4T	1
B	cDCs+pDCs	6
B	B	1
B	NK	3
B	plasma	0
B	proliferating_lympho	3
B	erythrocyte	1
B	platelets	2
NK	unknown	0
NK	monocyte	19
NK	CD8T	4
NK	CD4T	4
NK	cDCs+pDCs	13
NK	B	3
NK	NK	2
NK	plasma	3
NK	proliferating_lympho	6
NK	erythrocyte	0
NK	platelets	6
plasma	unknown	0
plasma	monocyte	10
plasma	CD8T	2
plasma	CD4T	0
plasma	cDCs+pDCs	7
plasma	B	0
plasma	NK	3
plasma	plasma	0
plasma	proliferating_lympho	2
plasma	erythrocyte	0
plasma	platelets	2
proliferating_lympho	unknown	0
proliferating_lympho	monocyte	26
proliferating_lympho	CD8T	5
proliferating_lympho	CD4T	4
proliferating_lympho	cDCs+pDCs	18
proliferating_lympho	B	3
proliferating_lympho	NK	6
proliferating_lympho	plasma	2
proliferating_lympho	proliferating_lympho	4
proliferating_lympho	erythrocyte	0
proliferating_lympho	platelets	6
erythrocyte	unknown	0
erythrocyte	monocyte	6
erythrocyte	CD8T	0
erythrocyte	CD4T	0
erythrocyte	cDCs+pDCs	3
erythrocyte	B	1
erythrocyte	NK	0
erythrocyte	plasma	0
erythrocyte	proliferating_lympho	0
erythrocyte	erythrocyte	0
erythrocyte	platelets	0
platelets	unknown	1
platelets	monocyte	15
platelets	CD8T	6
platelets	CD4T	2
platelets	cDCs+pDCs	9
platelets	B	2
platelets	NK	6
platelets	plasma	2
platelets	proliferating_lympho	6
platelets	erythrocyte	0
platelets	platelets	1
