gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	unknown	monocyte	CD8T	CD4T	cDCs+pDCs	B	NK	plasma	proliferating_lympho	erythrocyte	platelets
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0B6D68FD5	-0.078	0.569	-0.075	-0.103	0.07	-0.1	0.04	-0.098	-0.075	-0.065	-0.083
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0A9458008	-0.078	0.569	-0.075	-0.103	0.07	-0.1	0.04	-0.098	-0.075	-0.065	-0.083
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	-0.491	0.053	0.338	-0.416	2.122	1.416	0.355	-0.17	0.478	-0.628	0.279
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	-0.164	0.689	-0.04	-0.201	0.551	-0.276	0.088	-0.288	0.114	-0.224	0.164
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.004	0.935	-0.034	-0.181	0.101	-0.208	0.075	-0.163	0.245	-0.218	-0.3
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	-0.491	0.053	0.338	-0.416	2.122	1.416	0.355	-0.17	0.478	-0.628	0.279
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	-0.525	0.606	-0.171	-0.54	1.838	1.76	-0.034	0.243	0.341	-0.793	0.213
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	-0.044	0.146	0.458	-0.179	-0.128	-0.167	0.498	-0.137	0.419	-0.103	-0.09
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.045	0.102	0.227	-0.054	-0.156	-0.068	0.013	-0.248	0.164	-0.29	0.062
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	-0.214	1.062	-0.223	-0.22	1.69	-0.007	-0.227	-0.178	-0.213	-0.232	-0.232
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	-0.298	2.029	-0.345	-0.362	1.147	-0.27	-0.342	-0.081	-0.28	-0.137	-0.176
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.045	0.102	0.227	-0.054	-0.156	-0.068	0.013	-0.248	0.164	-0.29	0.062
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	-0.181	-0.22	0.003	0.179	-0.263	-0.001	0.082	-0.242	-0.061	-0.263	-0.218
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.045	0.102	0.227	-0.054	-0.156	-0.068	0.013	-0.248	0.164	-0.29	0.062
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	-0.181	-0.22	0.003	0.179	-0.263	-0.001	0.082	-0.242	-0.061	-0.263	-0.218
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	-0.082	0.834	0.113	-0.302	-0.053	-0.243	1.004	-0.251	0.486	0.059	-0.276
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.261	-0.511	1.766	-0.423	-0.495	-0.475	1.84	-0.55	1.078	-0.37	0.43
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	-0.087	0.385	0.276	-0.217	0.185	-0.218	0.23	-0.207	0.25	-0.239	-0.054
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	-0.311	1.192	-0.295	-0.249	1.409	-0.032	-0.128	-0.235	0.095	-0.253	0.2
